Generation,BestFitness,AverageFitness,WorstFitness
0,38411.5,44588.6,49687
1,37642,42694.1,49697
2,34191,41563.4,47784.5
3,34191,40014.7,46578.5
4,33850.5,39255.6,45465.5
5,33280,38476.7,46569
6,32714.5,37893.1,45503.5
7,32714.5,36947.9,44400
8,29683.5,36427.5,44499.5
9,29683.5,35047.5,41143.5
10,29065,34513.3,42675.5
11,28982,33894.9,47835
12,28982,32610.6,43759.5
13,28891.5,33596.7,40723
14,28132.5,31760.7,42416
15,27660,30441.7,39557
16,27388.5,28829.3,31130.5
17,27056,28386.4,31331
18,26241.5,27848.7,30958.5
19,25830.5,27356.1,31277
20,25706,26842.3,29431.5
21,25680,26541.3,29831
22,25575,26218.5,28795.5
23,25346.5,26109.9,30023.5
24,25314,25929.7,29355.5
25,25110,25963.8,28638.5
26,24763.5,25994.2,28805
27,24574,25804.3,29943.5
28,24552,25552.1,27965
29,24054.5,25438.8,28161.5
30,23759.5,25132.8,27963
31,23568,24832.8,27492.5
32,23448.5,24494.5,27222
33,23119,24342.8,27066
34,22893,24036.8,26579.5
35,22480,23820.3,28035.5
36,22480,23445.9,26833
37,22480,23357.2,25951
38,22272.5,23069.8,26720.5
39,22206.5,22962,25043.5
40,21925,22920.5,25624.5
41,21893.5,22838.5,26539.5
42,21821,22666.7,25775
43,21703,22449.4,26422
44,21373.5,22363.1,25789
45,21067.5,22187.1,25532.5
46,20821,21834.6,25192.5
47,20821,21662,25458
48,20791.5,21568.4,25050.5
49,20644.5,21373.9,24306.5
50,20644.5,21376.9,24256
51,20623.5,21408.3,24091
52,20549,21298.9,24853
53,20399,21075.7,23293.5
54,20399,21071.9,23671.5
55,20399,21008.9,23771
56,20226,21052,23856.5
57,20226,21158.9,24633.5
58,20156,20858.3,23707
59,20092,20797.3,23396
60,20092,20840.1,24060.5
61,20092,20820.6,25214.5
62,19798,20756.9,23727
63,19755.5,20849.6,23678
64,19744,20470.7,23599.5
65,19744,20387.7,24473.5
66,19731.5,20406.3,23495
67,19578,20444.9,23232.5
68,19578,20351.5,24119.5
69,19529,20143.7,22717
70,19487,20308.2,23082.5
71,19400.5,20075.6,22661
72,19396,20146,22756.5
73,19396,20086.4,23384.5
74,19230.5,19959.5,23458
75,19226,19935.5,22206
76,19226,20016.9,23272.5
77,19201.5,19773.2,23520
78,19197,19823.4,22560
